188
CS_ID	CS_NPTS	CS_LOB	CS_LBT	CS_ROB	CS_RBT	CS_SVTYPE	CS_TYPE	CS_ORIGIN	CS_STATION
1	8	1	1	8	8	WZ	MC	USERSPEC	
2	8	1	1	8	8	WZ	MC	USERSPEC	
3	8	1	1	8	8	WZ	MC	USERSPEC	
4	8	1	1	8	8	WZ	MC	USERSPEC	
5	8	1	1	8	8	WZ	MC	USERSPEC	
6	8	1	1	8	8	WZ	MC	USERSPEC	
7	8	1	1	8	8	WZ	MC	USERSPEC	
8	8	1	1	8	8	WZ	MC	USERSPEC	
9	8	1	1	8	8	WZ	MC	USERSPEC	
10	8	1	1	8	8	WZ	MC	USERSPEC	
11	8	1	1	8	8	WZ	MC	USERSPEC	
12	8	1	1	8	8	WZ	MC	USERSPEC	
13	8	1	1	8	8	WZ	MC	USERSPEC	
14	8	1	1	8	8	WZ	MC	USERSPEC	
15	8	1	1	8	8	WZ	MC	USERSPEC	
16	8	1	1	8	8	WZ	MC	USERSPEC	
17	8	1	1	8	8	WZ	MC	USERSPEC	
18	8	1	1	8	8	WZ	MC	USERSPEC	
19	8	1	1	8	8	WZ	MC	USERSPEC	
20	8	1	1	8	8	WZ	MC	USERSPEC	
21	8	1	1	8	8	WZ	MC	USERSPEC	
22	8	1	1	8	8	WZ	MC	USERSPEC	
23	8	1	1	8	8	WZ	MC	USERSPEC	
24	8	1	1	8	8	WZ	MC	USERSPEC	
25	8	1	1	8	8	WZ	MC	USERSPEC	
26	8	1	1	8	8	WZ	MC	USERSPEC	
27	8	1	1	8	8	WZ	MC	USERSPEC	
28	8	1	1	8	8	WZ	MC	USERSPEC	
29	8	1	1	8	8	WZ	MC	USERSPEC	
30	8	1	1	8	8	WZ	MC	USERSPEC	
31	8	1	1	8	8	WZ	MC	USERSPEC	
32	8	1	1	8	8	WZ	MC	USERSPEC	
33	8	1	1	8	8	WZ	MC	USERSPEC	
34	8	1	1	8	8	WZ	MC	USERSPEC	
35	8	1	1	8	8	WZ	MC	USERSPEC	
36	8	1	1	8	8	WZ	MC	USERSPEC	
37	8	1	1	8	8	WZ	MC	USERSPEC	
38	8	1	1	8	8	WZ	MC	USERSPEC	
39	8	1	1	8	8	WZ	MC	USERSPEC	
40	8	1	1	8	8	WZ	MC	USERSPEC	
41	8	1	1	8	8	WZ	MC	USERSPEC	
42	8	1	1	8	8	WZ	MC	USERSPEC	
43	8	1	1	8	8	WZ	MC	USERSPEC	
44	8	1	1	8	8	WZ	MC	USERSPEC	
45	8	1	1	8	8	WZ	MC	USERSPEC	
46	8	1	1	8	8	WZ	MC	USERSPEC	
47	8	1	1	8	8	WZ	MC	USERSPEC	
48	8	1	1	8	8	WZ	MC	USERSPEC	
49	8	1	1	8	8	WZ	MC	USERSPEC	
50	8	1	1	8	8	WZ	MC	USERSPEC	
51	8	1	1	8	8	WZ	MC	USERSPEC	
52	8	1	1	8	8	WZ	MC	USERSPEC	
53	8	1	1	8	8	WZ	MC	USERSPEC	
54	8	1	1	8	8	WZ	MC	USERSPEC	
55	8	1	1	8	8	WZ	MC	USERSPEC	
56	8	1	1	8	8	WZ	MC	USERSPEC	
57	8	1	1	8	8	WZ	MC	USERSPEC	
58	8	1	1	8	8	WZ	MC	USERSPEC	
59	8	1	1	8	8	WZ	MC	USERSPEC	
60	8	1	1	8	8	WZ	MC	USERSPEC	
61	8	1	1	8	8	WZ	MC	USERSPEC	
62	8	1	1	8	8	WZ	MC	USERSPEC	
63	8	1	1	8	8	WZ	MC	USERSPEC	
64	8	1	1	8	8	WZ	MC	USERSPEC	
65	8	1	1	8	8	WZ	MC	USERSPEC	
66	8	1	1	8	8	WZ	MC	USERSPEC	
67	8	1	1	8	8	WZ	MC	USERSPEC	
68	8	1	1	8	8	WZ	MC	USERSPEC	
69	8	1	1	8	8	WZ	MC	USERSPEC	
70	8	1	1	8	8	WZ	MC	USERSPEC	
71	8	1	1	8	8	WZ	MC	USERSPEC	
72	8	1	1	8	8	WZ	MC	USERSPEC	
73	8	1	1	8	8	WZ	MC	USERSPEC	
74	8	1	1	8	8	WZ	MC	USERSPEC	
75	8	1	1	8	8	WZ	MC	USERSPEC	
76	8	1	1	8	8	WZ	MC	USERSPEC	
77	8	1	1	8	8	WZ	MC	USERSPEC	
78	8	1	1	8	8	WZ	MC	USERSPEC	
79	8	1	1	8	8	WZ	MC	USERSPEC	
80	8	1	1	8	8	WZ	MC	USERSPEC	
81	8	1	1	8	8	WZ	MC	USERSPEC	
82	8	1	1	8	8	WZ	MC	USERSPEC	
